portal	method	path	title	handler	confidence	functional_note	controller_file	controller_method	params
用户端	POST	api/order/points/pay/:id	groupOrderPay	api.store.order.StoreOrder/groupOrderPay	high	【积分组订单再支付】同 groupOrderPay，路由 append is_points=1	app/controller/api/store/order/StoreOrder.php	groupOrderPay	id,type,is_points,return_url
用户端	POST	api/order/receipt/:id	createReceipt	api.store.order.StoreOrder/createReceipt	high		app/controller/api/store/order/StoreOrder.php	createReceipt	id,receipt_type,receipt_title,duty_paragraph,receipt_title_type,bank_name,bank_code,address,tel,email
用户端	POST	api/order/self/cancel/:id	cancelOrder	api.store.order.StoreOrder/cancelOrder	high		app/controller/api/store/order/StoreOrder.php	cancelOrder	id
用户端	GET	api/order/status/:id	groupOrderStatus	api.store.order.StoreOrder/groupOrderStatus	high		app/controller/api/store/order/StoreOrder.php	groupOrderStatus	id
用户端	POST	api/order/take/:id	take	api.store.order.StoreOrder/take	high		app/controller/api/store/order/StoreOrder.php	take	id
用户端	POST	api/order/v3/check	beforCheck	api.store.order.PointsOrder/beforCheck	high	【积分订单核对】PointsOrder::beforCheck → PointsOrderCreateRepository（activity_type=20）	app/controller/api/store/order/PointsOrder.php	beforCheck	cart_id,address_id,use_integral,use_coupon,takes
用户端	POST	api/order/v3/create	createOrder	api.store.order.PointsOrder/createOrder	high	【积分订单创建】PointsOrder::createOrder；支付多在创建时发起，无独立 orderPay 方法	app/controller/api/store/order/PointsOrder.php	createOrder	cart_id,address_id,use_integral,mark,pay_type,return_url
用户端	POST	api/order/v3/pay/:id	orderPay	api.store.order.PointsOrder/orderPay	stale	【死路由】声明 PointsOrder::orderPay，源码无此方法；积分单支付走 create 内 repository->pay 或普通 groupOrderPay	app/controller/api/store/order/PointsOrder.php	orderPay	
用户端	GET	api/order/verify_code/:id	verifyCode	api.store.order.StoreOrder/verifyCode	high		app/controller/api/store/order/StoreOrder.php	verifyCode	id
用户端	ANY	api/order_call_back	mchNotify	api.Common/callBackNotify	high		app/controller/api/Common.php	callBackNotify	type,id
用户端	GET	api/pay/config	payConfig	api.store.order.StoreOrder/payConfig	high		app/controller/api/store/order/StoreOrder.php	payConfig	id,type
用户端	GET	api/points/detail/:id	detail	api.store.product.PointsProduct/detail	high		app/controller/api/store/product/PointsProduct.php	detail	id
用户端	GET	api/points/home	home	api.store.product.PointsProduct/home	high		app/controller/api/store/product/PointsProduct.php	home	
用户端	GET	api/points/lst	lst	api.store.product.PointsProduct/lst	high		app/controller/api/store/product/PointsProduct.php	lst	page,limit,scope,order,price,sales,keyword,cate_id,is_hot
用户端	POST	api/points/order/deleate/:id	del	api.store.order.PointsOrder/del	high		app/controller/api/store/order/PointsOrder.php	del	id
用户端	GET	api/points/order/detail/:id	detail	api.store.order.PointsOrder/detail	high		app/controller/api/store/order/PointsOrder.php	detail	id
用户端	GET	api/points/order/lst	lst	api.store.order.PointsOrder/lst	high		app/controller/api/store/order/PointsOrder.php	lst	page,limit,pay_type,paid,status
用户端	POST	api/points/order/take/:id	take	api.store.order.PointsOrder/take	high		app/controller/api/store/order/PointsOrder.php	take	id
用户端	GET	api/points/scope	points_mall_scope	api.store.product.PointsProduct/points_mall_scope	high		app/controller/api/store/product/PointsProduct.php	points_mall_scope	page,limit
用户端	POST	api/presell/pay/:id	pay	api.store.order.PresellOrder/pay	high	【预售尾款支付】PresellOrder::pay	app/controller/api/store/order/PresellOrder.php	pay	id,type,return_url
用户端	GET	api/product/spu/active/category/:type	activeCategory	api.store.product.StoreSpu/activeCategory	high		app/controller/api/store/product/StoreSpu.php	activeCategory	type
用户端	GET	api/product/spu/bag	bag	api.store.product.StoreSpu/bag	high		app/controller/api/store/product/StoreSpu.php	bag	page,limit
用户端	GET	api/product/spu/bag/recommend	bagRecommend	api.store.product.StoreSpu/bagRecommend	high		app/controller/api/store/product/StoreSpu.php	bagRecommend	page,limit
用户端	GET	api/product/spu/copy	copy	api.store.product.StoreSpu/copy	high		app/controller/api/store/product/StoreSpu.php	copy	id,product_type
用户端	GET	api/product/spu/coupon_product	getProductByCoupon	api.store.product.StoreSpu/getProductByCoupon	high		app/controller/api/store/product/StoreSpu.php	getProductByCoupon	page,limit,keyword,cate_id,cate_pid,order,price_on,price_off,brand_id,pid,mer_cate_id,coupon_id
用户端	GET	api/product/spu/get/:id	get	api.store.product.StoreSpu/get	high		app/controller/api/store/product/StoreSpu.php	get	id
用户端	GET	api/product/spu/get_hot_ranking	getHotRanking	api.store.product.StoreSpu/getHotRanking	high		app/controller/api/store/product/StoreSpu.php	getHotRanking	cate_pid,limit,region_id
用户端	GET	api/product/spu/hot/:type	hot	api.store.product.StoreSpu/hot	high		app/controller/api/store/product/StoreSpu.php	hot	type,page,limit,common,mer_id
用户端	GET	api/product/spu/hot_lst	getHotList	api.store.product.StoreProduct/getHotList	high		app/controller/api/store/product/StoreProduct.php	getHotList	
用户端	GET	api/product/spu/hot_top	getHotTop	api.store.product.StoreProduct/getHotTop	high		app/controller/api/store/product/StoreProduct.php	getHotTop	limit
用户端	GET	api/product/spu/labels	labelsLst	api.store.product.StoreSpu/labelsLst	high		app/controller/api/store/product/StoreSpu.php	labelsLst	page,limit,mer_id,labels
用户端	GET	api/product/spu/local/:id	local	api.store.product.StoreSpu/local	high		app/controller/api/store/product/StoreSpu.php	local	id,page,limit
用户端	GET	api/product/spu/lst	lst	api.store.product.StoreSpu/lst	high		app/controller/api/store/product/StoreSpu.php	lst	page,limit,keyword,cate_id,cate_pid,order,price_on,price_off,brand_id,pid,mer_cate_id,product_type,action,common,is_trader,product_ids,mer_id,filter_params,mer_type_id,ids,latitude,longitude,store_type_id,store_label_id,delivery_type,region_id
用户端	GET	api/product/spu/merchant/:id	merProductLst	api.store.product.StoreSpu/merProductLst	high		app/controller/api/store/product/StoreSpu.php	merProductLst	id,page,limit,keyword,cate_id,order,price_on,price_off,brand_id,pid,mer_cate_id,product_type,action,common,ids,product_ids,store_type_id,mer_store_label_id,delivery_type
用户端	GET	api/product/spu/params	select	api.store.product.StoreParams/select	high		app/controller/api/store/product/StoreParams.php	select	keyword,cate_id,mer_id,mer_cate_id,cate_pid,is_pc
用户端	GET	api/product/spu/params_value/:id	getValue	api.store.product.StoreParams/getValue	high		app/controller/api/store/product/StoreParams.php	getValue	id
用户端	GET	api/product/spu/recommend	recommend	api.store.product.StoreSpu/recommend	high		app/controller/api/store/product/StoreSpu.php	recommend	page,limit,common,mer_id,latitude,longitude,region_id
用户端	POST	api/refund/apply/:id	refund	api.store.order.StoreRefundOrder/refund	high	【用户申请退款】StoreRefundOrder::refund；type=1 单商品 / 否则批量 ids	app/controller/api/store/order/StoreRefundOrder.php	refund	id,type,refund_type,refund_price,num,ids,refund_message,mark,pics
用户端	POST	api/refund/back_goods/:id	back_goods	api.store.order.StoreRefundOrder/back_goods	high		app/controller/api/store/order/StoreRefundOrder.php	back_goods	id,delivery_type,delivery_id,delivery_phone,delivery_mark,delivery_pics
