portal	module	page	action	crud	source	identifier
平台后台	商品 / 评论管理	评论管理	添加虚拟评论	C	菜单权限	systemProductReplyCreate
平台后台	商品 / 评论管理	评论管理	排序	U	菜单权限	systemProductReplySort
平台后台	商品 / 评论管理	评论管理	删除	D	菜单权限	systemProductReplyDelete
平台后台	商品 / 评论管理	评论管理	上传图片	C	菜单权限	uploadImage
平台后台	商品 / 评论管理	评论管理	图片列表	R	菜单权限	systemAttachmentLst
平台后台	客服	客服	用户与商户聊天记录	R	路由	adminServiceMerchantUserLogLst
平台后台	客服	客服	列表	R	路由	adminServiceReplyLst
平台后台	客服	客服	添加	C	路由	adminServiceReplyCreate
平台后台	客服	客服	编辑	U	路由	adminServiceReplyUpdate
平台后台	客服 / 客服列表	客服列表	列表	R	菜单权限	adminServiceLst
平台后台	客服 / 客服列表	客服列表	登录	O	菜单权限	adminServiceLogin
平台后台	客服 / 客服列表	客服列表	添加	C	菜单权限	adminServiceCreate
平台后台	客服 / 客服列表	客服列表	编辑	U	菜单权限	adminServiceUpdate
平台后台	客服 / 客服列表	客服列表	修改状态	U	菜单权限	adminServiceSwitchStatus
平台后台	客服 / 客服列表	客服列表	删除	D	菜单权限	adminServiceDelete
平台后台	客服 / 客服列表	客服列表	客服的全部用户 	O	菜单权限	adminServiceServiceUserList
平台后台	客服 / 客服列表	客服列表	用户与客服聊天记录	R	菜单权限	adminServiceServiceUserLogLst
平台后台	客服 / 客服列表	客服列表	客服的聊天用户列表	R	菜单权限	adminServiceServiceMerchantUserList
平台后台	客服 / 客服列表	客服列表	用户与商户聊天记录	R	菜单权限	adminServiceMerchantUserLogLst
平台后台	客服 / 客服自动回复	客服自动回复	列表	R	菜单权限	adminServiceReplyLst
平台后台	客服 / 客服自动回复	客服自动回复	添加	C	菜单权限	adminServiceReplyCreate
平台后台	客服 / 客服自动回复	客服自动回复	编辑	U	菜单权限	adminServiceReplyUpdate
平台后台	客服 / 客服自动回复	客服自动回复	切换状态	U	菜单权限	adminServiceReplyStatus
平台后台	客服 / 客服自动回复	客服自动回复	删除	D	菜单权限	adminServiceReplyDelete
平台后台	客服 / 客服设置	客服设置	编辑配置信息	CU	菜单权限	configSave
平台后台	应用	应用	(页面入口)	R	待补	
平台后台	应用 / 公众号	公众号	微信菜单配置	R	路由	wechatMenu
平台后台	应用 / 公众号	公众号	保存微信菜单配置	C	路由	saveWechatMenu
平台后台	应用 / 公众号	公众号	详情	R	路由	wechatReplyInfo
平台后台	应用 / 公众号	公众号	编辑	CU	路由	saveWechatReply
平台后台	应用 / 公众号	公众号	添加	C	路由	createWechatReply
平台后台	应用 / 公众号	公众号	修改	U	路由	updateWechatReply
平台后台	应用 / 公众号	公众号	列表	R	路由	wechatReplyLst
平台后台	应用 / 公众号	公众号	删除	D	路由	wechatReplyDelete
平台后台	应用 / 公众号	公众号	修改状态	U	路由	wechatReplyStatus
平台后台	应用 / 公众号 / 图文管理	图文管理	添加	C	菜单权限	systemWechatNewsCreate
平台后台	应用 / 公众号 / 图文管理	图文管理	编辑	U	菜单权限	systemWechatNewsUpdate
平台后台	应用 / 公众号 / 图文管理	图文管理	删除	D	菜单权限	systemWechatNewsDelete
平台后台	应用 / 公众号 / 图文管理	图文管理	列表	R	菜单权限	systemWechatNewsLst
平台后台	应用 / 公众号 / 图文管理	图文管理	详情	R	菜单权限	systemWechatNewsDetail
